,cep,up_lat,up_long
354,02176000,-23.5140273,-46.5738381
355,02117000,-22.9329283,-43.2573788
356,02119000,-23.5119486,-46.5946667
357,02131000,-23.5047016,-46.5847769
358,02124000,-23.4996825,-46.5727007
359,02129000,-23.5032435,-46.5871543
360,02132000,-23.4988144,-46.58035433519582
361,02110000,-23.520731,-46.5955905
362,02135000,-23.499366,-46.5985913
363,02127000,-23.5067598,-46.5894312
364,02114000,-22.8998247,-43.2382
365,02177000,-23.5128435,-46.5714103
366,02120000,-1.426539,-48.4822211
367,02161000,-23.4924839,-46.5708542
368,02112000,-22.8870933,-43.3623055
369,02126000,-23.50385535,-46.592400952372486
370,02169000,-23.5180277,-46.5795461
371,02123000,-23.5141494,-46.5806802
372,02189000,-22.9204666,-43.65093337895314
373,02128000,-23.1820186,-47.3052004
374,02179000,-23.5213163,-46.5681297
375,02136000,-23.496964,-46.5793735
376,02174000,-23.523266,-46.5714929
377,02137000,-23.4971798,-46.577945
378,02185000,-18.9269093,-48.20889684320783
379,02181000,-23.5155196,-46.5634127
380,02180000,-23.5211879,-46.5666702
381,02111000,-23.5175292,-46.5933042
382,02187000,-23.5140071,-46.5671587
383,02121000,-23.5133334,-46.5914066
384,02190000,-23.5041458,-46.567189
385,02139000,-23.4947206,-46.5728847
386,02143000,-23.508287,-46.5754094
387,02115000,-21.7437978,-43.3822707
388,02118000,-23.5175258,-46.5891107
389,02125000,-23.5125685,-46.5851292
390,02113000,-23.515082800000002,-46.586777689627326
391,02147000,-23.4988758,-46.5665661
392,02141000,-23.4893735,-46.5672622
393,02170000,-23.5259343,-46.5716323
394,02166000,-23.5267717,-46.5866379
395,02168000,-23.5203669,-46.5794133
396,02116000,-23.5010642,-47.6313714
397,02145000,-23.498885,-46.5621313
398,02151000,-27.20996565,-49.63722883356667
399,02146000,-23.4949023,-46.5684287
400,02144000,-23.5025594,-46.5690152
401,02142000,-23.5103867,-46.5762893
402,02251000,-23.480603,-46.5899439
403,02256000,-23.4754239,-46.5871681
404,02246000,-23.4901629,-46.6012764
405,02223000,-23.4879996,-46.5745975
406,02225000,-23.4870638,-46.573137
407,02204000,-16.8911947,-40.9265744
408,02235000,-23.4763737,-46.5724598
409,02245000,-23.4821599,-46.6039379
410,02208000,-28.4730843,-48.7874474
411,02222000,-23.4807775,-46.5705124
412,02232000,-23.474597,-46.5655062
413,02203000,-23.4925198,-46.5907877
414,02250000,-8.1050627,-34.9204597
415,02263000,-23.4645086,-46.5787975
416,02238000,-23.4768799,-46.5800724
417,02261000,-22.8881502,-43.5814998
418,02267000,-25.2207944,-49.358886
419,02270000,-23.4724617,-46.5938809
420,02227000,-23.4733062,-46.5759224
421,02273000,-23.4667598,-46.5887944
422,02244000,-23.4909814,-46.6066022
